filename,sample,co2,ppm,Land_Management,Treatment,date,Rep,sample_day,mass_CO2,mass_C,C_rate,C_rate_mg,cum_C,mg_cum_C
141021_b_44,13XylNTHRep3_unk-0010_10212014_18.qgd,44,4764.395503555861,NTH,13X,2014-10-21,3,1,0.0020850517957782433,5.690424248828102e-4,2.371010103678376e-5,0.023710101036783757,6.010416629708789e-4,0.6010416629708789
141021_b_44,13XylPTHRep2_unk-0011_10212014_19.qgd,44,3899.135887435956,PTH,13X,2014-10-21,2,1,0.001710610748054436,4.6685175403048926e-4,1.9452156417937054e-5,0.019452156417937055,5.487485808853666e-4,0.5487485808853666
141021_b_44,12ConPTHRep3_unk-0012_10212014_20.qgd,44,9587.21419285769,PTH,12C,2014-10-21,3,1,0.004198960517010538,0.0011459603446901515,4.774834769542298e-5,0.04774834769542298,0.00118868136702089,1.18868136702089
141021_b_44,13XylPTHRep3_unk-0013_10212014_21.qgd,44,6860.05964670796,PTH,13X,2014-10-21,3,1,0.003004534896312561,8.19983381949788e-4,3.4165974247907834e-5,0.034165974247907835,8.616684441547233e-4,0.8616684441547233
141021_b_44,12ConPTHRep4_unk-0014_10212014_22.qgd,44,6056.6643725625145,PTH,12C,2014-10-21,4,1,0.002652667819200345,7.239534918522005e-4,3.016472882717502e-5,0.03016472882717502,7.849846983112212e-4,0.7849846983112212
141021_b_44,13XylPTHRep4_unk-0015_10212014_23.qgd,44,4965.359027299839,PTH,13X,2014-10-21,4,1,0.0021747033172520836,5.935096919680704e-4,2.47295704986696e-5,0.024729570498669598,6.580516521867573e-4,0.6580516521867573
141021_b_44,12ConNTHRep4_unk-0016_10212014_24.qgd,44,7634.013917565191,NTH,12C,2014-10-21,4,1,0.003337028994731774,9.107260907912597e-4,3.794692044963582e-5,0.037946920449635824,9.440341415634002e-4,0.9440341415634002
141021_b_44,13XylNTHRep4_unk-0017_10212014_25.qgd,44,6626.596314139329,NTH,13X,2014-10-21,4,1,0.0028966601679602986,7.905427238666473e-4,3.2939280161110305e-5,0.03293928016111031,8.488543791479556e-4,0.8488543791479556
141021_b_45,12ConPTHRep1_unk-0002_10212014_10.qgd,45,53.58935742971887,PTH,12C,2014-10-21,1,1,2.349692674940325e-5,6.4126695566253675e-6,2.671945648593903e-7,2.671945648593903e-4,7.614393438788079e-6,0.007614393438788079
141021_b_45,13XylPTHRep1_unk-0003_10212014_11.qgd,45,475.84086345381525,PTH,13X,2014-10-21,1,1,2.0863840227251153e-4,5.6940600992845625e-5,2.3725250413685676e-6,0.0023725250413685678,5.8593183250831664e-5,0.05859318325083166
141021_b_45,12ConNTHRep1_unk-0004_10212014_12.qgd,45,90.98895582329317,NTH,12C,2014-10-21,1,1,3.9841034031860236e-5,1.087322562500962e-5,4.530510677087341e-7,4.530510677087341e-4,1.2245469162700948e-5,0.012245469162700948
141021_b_45,13XylNTHRep1_unk-0005_10212014_13.qgd,45,1480.8609437751004,NTH,13X,2014-10-21,1,1,6.484196980123238e-4,1.769636217411048e-4,7.373484239212699e-6,0.0073734842392127,1.7854112433626603e-4,0.17854112433626604
141021_b_45,12ConPTHRep2_unk-0006_10212014_14.qgd,45,54.65612449799197,PTH,12C,2014-10-21,2,1,2.397848054347968e-5,6.544092929055542e-6,2.726705387106476e-7,2.726705387106476e-4,8.874305416866057e-6,0.008874305416866056
